"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 26 10:45:17 GMT 2022","Mon Dec 26 10:45:17 GMT 2022","0","tests","test_pet","TestPets","","","test_get_pet_valid_id",""
"passed","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:18 GMT 2022","45","tests","test_store","","","","test_get_pet_inventories","Returns the list of pets, verifies if there are animals available for an order"
"broken","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:18 GMT 2022","0","tests","test_pet","TestPets","","","test_put_update_pet[sold]",""
"broken","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:18 GMT 2022","0","tests","test_pet","TestPets","","","test_put_update_pet[available]",""
"skipped","Mon Dec 26 10:45:21 GMT 2022","Mon Dec 26 10:45:21 GMT 2022","46","tests","test_user","","","","test_post_new_user_negative[very_long_name-negative]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:45:19 GMT 2022","Mon Dec 26 10:45:19 GMT 2022","46","tests","test_user","","","","test_post_new_user_negative[empty-string]","Creates new user, verifies if the user is created"
"broken","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:18 GMT 2022","0","tests","test_pet","TestPets","","","test_post_update_pet[sold]",""
"passed","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:19 GMT 2022","236","tests","test_user","","","","test_post_new_user_positive[upper-random]","Creates new user, verifies if the user is created"
"passed","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:18 GMT 2022","249","tests","test_store","","","","test_post_new_order","Creates an order for a pet, verifies if the order is complete"
"skipped","Mon Dec 26 10:45:20 GMT 2022","Mon Dec 26 10:45:20 GMT 2022","44","tests","test_user","","","","test_post_new_user_negative[simbols-string]","Creates new user, verifies if the user is created"
"broken","Mon Dec 26 10:45:17 GMT 2022","Mon Dec 26 10:45:17 GMT 2022","0","tests","test_pet","TestPets","","","test_post_add_new_pet[sold]",""
"broken","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:18 GMT 2022","0","tests","test_pet","TestPets","","","test_uploads_image",""
"skipped","Mon Dec 26 10:45:20 GMT 2022","Mon Dec 26 10:45:20 GMT 2022","66","tests","test_user","","","","test_post_new_user_negative[whitespace_integer-string]","Creates new user, verifies if the user is created"
"passed","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:18 GMT 2022","71","tests","test_pet","TestPets","","","test_get_pet_valid_status[pending]","Parameterization is used here, 4 tests will run"
"passed","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:18 GMT 2022","85","tests","test_pet","TestPets","","","test_get_pet_valid_status[available]","Parameterization is used here, 4 tests will run"
"passed","Mon Dec 26 10:45:18 GMT 2022","Mon Dec 26 10:45:18 GMT 2022","171","tests","test_store","","","","test_get_order_by_id","Gets an order by ID, if order not found, create a new one."
"passed","Mon Dec 26 10:45:19 GMT 2022","Mon Dec 26 10:45:19 GMT 2022","207","tests","test_user","","","","test_post_new_user_positive[lower-random]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:45:19 GMT 2022","Mon Dec 26 10:45:19 GMT 2022","45","tests","test_user","","","","test_post_new_user_negative[russian_string-string]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:45:20 GMT 2022","Mon Dec 26 10:45:20 GMT 2022","45","tests","test_user","","","","test_post_new_user_negative[whitespace_integer-negative]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:45:19 GMT 2022","Mon Dec 26 10:45:19 GMT 2022","63","tests","test_user","","","","test_post_new_user_negative[empty-empty]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:45:20 GMT 2022","Mon Dec 26 10:45:20 GMT 2022","44","tests","test_user","","","","test_post_new_user_negative[whitespace_integer-whitespace]","Creates new user, verifies if the user is created"
"skipped","Mon Dec 26 10:45:20 GMT 2022","Mon Dec 26 10:45:21 GMT 2022","45","tests","test_user","","","","test_post_new_user_negative[very_long_name-empty]","Creates new user, verifies if the user is created"
